id_viaje,id_terminal_salida,id_terminal_llegada,tiempo_inicio,tiempo_fin,nom_circuito
1,1,1,05:00:00,05:45:00,Giron Huarcay
2,1,1,05:18:00,06:06:00,Giron Huarcay
3,1,1,05:36:00,06:24:00,Giron Huarcay
4,1,1,05:52:00,06:40:00,Giron Huarcay
5,1,1,06:08:00,06:58:00,Giron Huarcay
6,1,1,06:24:00,07:14:00,Giron Huarcay
7,1,1,06:40:00,07:30:00,Giron Huarcay
8,1,1,06:56:00,07:46:00,Giron Huarcay
9,1,1,07:12:00,08:02:00,Giron Huarcay
10,1,1,07:28:00,08:18:00,Giron Huarcay
11,1,1,07:44:00,08:34:00,Giron Huarcay
12,1,1,08:00:00,08:50:00,Giron Huarcay
13,1,1,08:16:00,09:06:00,Giron Huarcay
14,1,1,08:32:00,09:22:00,Giron Huarcay
15,1,1,08:48:00,09:36:00,Giron Huarcay
16,1,1,09:04:00,09:52:00,Giron Huarcay
17,1,1,09:20:00,10:08:00,Giron Huarcay
18,1,1,09:36:00,10:24:00,Giron Huarcay
19,1,1,09:52:00,10:40:00,Giron Huarcay
20,1,1,10:08:00,10:56:00,Giron Huarcay
21,1,1,10:24:00,11:12:00,Giron Huarcay
22,1,1,10:40:00,11:28:00,Giron Huarcay
23,1,1,10:56:00,11:44:00,Giron Huarcay
24,1,1,11:12:00,12:00:00,Giron Huarcay
25,1,1,11:28:00,12:16:00,Giron Huarcay
26,1,1,11:44:00,12:32:00,Giron Huarcay
27,1,1,12:00:00,12:50:00,Giron Huarcay
28,1,1,12:16:00,13:06:00,Giron Huarcay
29,1,1,12:32:00,13:22:00,Giron Huarcay
30,1,1,12:48:00,13:38:00,Giron Huarcay
31,1,1,13:04:00,13:54:00,Giron Huarcay
32,1,1,13:20:00,14:10:00,Giron Huarcay
33,1,1,13:36:00,14:26:00,Giron Huarcay
34,1,1,13:52:00,14:42:00,Giron Huarcay
35,1,1,14:08:00,14:56:00,Giron Huarcay
36,1,1,14:24:00,15:12:00,Giron Huarcay
37,1,1,14:40:00,15:28:00,Giron Huarcay
38,1,1,14:56:00,15:44:00,Giron Huarcay
39,1,1,15:12:00,16:00:00,Giron Huarcay
40,1,1,15:28:00,16:16:00,Giron Huarcay
41,1,1,15:44:00,16:32:00,Giron Huarcay
42,1,1,16:00:00,16:48:00,Giron Huarcay
43,1,1,16:16:00,17:04:00,Giron Huarcay
44,1,1,16:32:00,17:22:00,Giron Huarcay
45,1,1,16:48:00,17:38:00,Giron Huarcay
46,1,1,17:04:00,17:54:00,Giron Huarcay
47,1,1,17:20:00,18:10:00,Giron Huarcay
48,1,1,17:36:00,18:26:00,Giron Huarcay
49,1,1,17:52:00,18:42:00,Giron Huarcay
50,1,1,18:08:00,18:58:00,Giron Huarcay
51,1,1,18:24:00,19:14:00,Giron Huarcay
52,1,1,18:41:00,19:29:00,Giron Huarcay
53,1,1,18:58:00,19:46:00,Giron Huarcay
54,1,1,19:15:00,20:03:00,Giron Huarcay
55,1,1,19:32:00,20:20:00,Giron Huarcay
56,1,1,19:49:00,20:37:00,Giron Huarcay
57,1,1,20:06:00,20:54:00,Giron Huarcay
58,1,1,20:23:00,21:11:00,Giron Huarcay
59,1,1,20:41:00,21:29:00,Giron Huarcay
60,1,1,20:59:00,21:47:00,Giron Huarcay
61,1,1,21:17:00,22:05:00,Giron Huarcay
62,1,1,21:35:00,22:23:00,Giron Huarcay
63,1,1,21:53:00,22:17:00,Giron Huarcay
64,1,1,22:12:00,22:36:00,Giron Huarcay
65,1,1,22:31:00,22:55:00,Giron Huarcay
66,1,1,22:50:00,23:14:00,Giron Huarcay
67,1,1,05:00:00,05:48:00,Martha Bucaram
68,1,1,05:17:00,06:05:00,Martha Bucaram
69,1,1,05:34:00,06:24:00,Martha Bucaram
70,1,1,05:49:00,06:39:00,Martha Bucaram
71,1,1,06:04:00,06:56:00,Martha Bucaram
72,1,1,06:17:00,07:09:00,Martha Bucaram
73,1,1,06:30:00,07:22:00,Martha Bucaram
74,1,1,06:43:00,07:35:00,Martha Bucaram
75,1,1,06:56:00,07:48:00,Martha Bucaram
76,1,1,07:09:00,08:01:00,Martha Bucaram
77,1,1,07:22:00,08:14:00,Martha Bucaram
78,1,1,07:35:00,08:27:00,Martha Bucaram
79,1,1,07:48:00,08:40:00,Martha Bucaram
80,1,1,08:01:00,08:53:00,Martha Bucaram
81,1,1,08:16:00,09:08:00,Martha Bucaram
82,1,1,08:31:00,09:23:00,Martha Bucaram
83,1,1,08:46:00,09:36:00,Martha Bucaram
84,1,1,09:01:00,09:51:00,Martha Bucaram
85,1,1,09:16:00,10:06:00,Martha Bucaram
86,1,1,09:31:00,10:21:00,Martha Bucaram
87,1,1,09:46:00,10:36:00,Martha Bucaram
88,1,1,10:01:00,10:51:00,Martha Bucaram
89,1,1,10:16:00,11:06:00,Martha Bucaram
90,1,1,10:31:00,11:21:00,Martha Bucaram
91,1,1,10:46:00,11:36:00,Martha Bucaram
92,1,1,11:01:00,11:51:00,Martha Bucaram
93,1,1,11:16:00,12:06:00,Martha Bucaram
94,1,1,11:31:00,12:21:00,Martha Bucaram
95,1,1,11:46:00,12:36:00,Martha Bucaram
96,1,1,12:01:00,12:51:00,Martha Bucaram
97,1,1,12:16:00,13:06:00,Martha Bucaram
98,1,1,12:31:00,13:21:00,Martha Bucaram
99,1,1,12:46:00,13:36:00,Martha Bucaram
100,1,1,13:01:00,13:51:00,Martha Bucaram
101,1,1,13:16:00,14:06:00,Martha Bucaram
102,1,1,13:31:00,14:21:00,Martha Bucaram
103,1,1,13:46:00,14:36:00,Martha Bucaram
104,1,1,14:01:00,14:51:00,Martha Bucaram
105,1,1,14:16:00,15:06:00,Martha Bucaram
106,1,1,14:31:00,15:21:00,Martha Bucaram
107,1,1,14:46:00,15:36:00,Martha Bucaram
108,1,1,15:01:00,15:51:00,Martha Bucaram
109,1,1,15:16:00,16:06:00,Martha Bucaram
110,1,1,15:31:00,16:21:00,Martha Bucaram
111,1,1,15:46:00,16:36:00,Martha Bucaram
112,1,1,16:01:00,16:51:00,Martha Bucaram
113,1,1,16:16:00,17:06:00,Martha Bucaram
114,1,1,16:31:00,17:21:00,Martha Bucaram
115,1,1,16:46:00,17:36:00,Martha Bucaram
116,1,1,17:01:00,17:51:00,Martha Bucaram
117,1,1,17:16:00,18:06:00,Martha Bucaram
118,1,1,17:31:00,18:21:00,Martha Bucaram
119,1,1,17:46:00,18:38:00,Martha Bucaram
120,1,1,18:01:00,18:53:00,Martha Bucaram
121,1,1,18:16:00,19:08:00,Martha Bucaram
122,1,1,18:31:00,19:23:00,Martha Bucaram
123,1,1,18:46:00,19:38:00,Martha Bucaram
124,1,1,19:01:00,19:53:00,Martha Bucaram
125,1,1,19:16:00,20:08:00,Martha Bucaram
126,1,1,19:31:00,20:23:00,Martha Bucaram
127,1,1,19:46:00,20:38:00,Martha Bucaram
128,1,1,20:01:00,20:53:00,Martha Bucaram
129,1,1,20:16:00,21:08:00,Martha Bucaram
130,1,1,20:31:00,21:21:00,Martha Bucaram
131,1,1,20:46:00,21:36:00,Martha Bucaram
132,1,1,21:03:00,21:53:00,Martha Bucaram
133,1,1,21:20:00,22:10:00,Martha Bucaram
134,1,1,21:37:00,22:02:00,Martha Bucaram
135,1,1,21:55:00,22:20:00,Martha Bucaram
136,1,1,22:13:00,22:38:00,Martha Bucaram
137,1,1,22:31:00,22:56:00,Martha Bucaram
138,1,1,22:50:00,23:15:00,Martha Bucaram
