id_viaje,id_terminal_salida,id_terminal_llegada,tiempo_inicio,tiempo_fin,nom_circuito
1,1,1,05:15:00,05:57:00,Kennedy
2,1,1,05:30:00,06:14:00,Kennedy
3,1,1,05:45:00,06:29:00,Kennedy
4,1,1,06:00:00,06:44:00,Kennedy
5,1,1,06:15:00,07:00:00,Kennedy
6,1,1,06:28:00,07:13:00,Kennedy
7,1,1,06:41:00,07:26:00,Kennedy
8,1,1,06:54:00,07:39:00,Kennedy
9,1,1,07:07:00,07:52:00,Kennedy
10,1,1,07:20:00,08:05:00,Kennedy
11,1,1,07:33:00,08:18:00,Kennedy
12,1,1,07:46:00,08:31:00,Kennedy
13,1,1,07:59:00,08:44:00,Kennedy
14,1,1,08:12:00,08:57:00,Kennedy
15,1,1,08:25:00,09:10:00,Kennedy
16,1,1,08:38:00,09:23:00,Kennedy
17,1,1,08:51:00,09:35:00,Kennedy
18,1,1,09:04:00,09:48:00,Kennedy
19,1,1,09:20:00,10:04:00,Kennedy
20,1,1,09:36:00,10:20:00,Kennedy
21,1,1,09:52:00,10:36:00,Kennedy
22,1,1,10:08:00,10:52:00,Kennedy
23,1,1,10:24:00,11:08:00,Kennedy
24,1,1,10:40:00,11:24:00,Kennedy
25,1,1,10:56:00,11:40:00,Kennedy
26,1,1,11:12:00,11:56:00,Kennedy
27,1,1,11:28:00,12:12:00,Kennedy
28,1,1,11:44:00,12:28:00,Kennedy
29,1,1,12:00:00,12:44:00,Kennedy
30,1,1,12:16:00,13:00:00,Kennedy
31,1,1,12:32:00,13:17:00,Kennedy
32,1,1,12:45:00,13:30:00,Kennedy
33,1,1,12:58:00,13:43:00,Kennedy
34,1,1,13:11:00,13:56:00,Kennedy
35,1,1,13:24:00,14:09:00,Kennedy
36,1,1,13:37:00,14:22:00,Kennedy
37,1,1,13:50:00,14:35:00,Kennedy
38,1,1,14:03:00,14:48:00,Kennedy
39,1,1,14:16:00,15:00:00,Kennedy
40,1,1,14:29:00,15:13:00,Kennedy
41,1,1,14:42:00,15:26:00,Kennedy
42,1,1,14:58:00,15:42:00,Kennedy
43,1,1,15:14:00,15:58:00,Kennedy
44,1,1,15:30:00,16:14:00,Kennedy
45,1,1,15:46:00,16:30:00,Kennedy
46,1,1,16:02:00,16:46:00,Kennedy
47,1,1,16:18:00,17:02:00,Kennedy
48,1,1,16:34:00,17:18:00,Kennedy
49,1,1,16:50:00,17:34:00,Kennedy
50,1,1,17:06:00,17:51:00,Kennedy
51,1,1,17:19:00,18:04:00,Kennedy
52,1,1,17:32:00,18:17:00,Kennedy
53,1,1,17:45:00,18:30:00,Kennedy
54,1,1,17:58:00,18:43:00,Kennedy
55,1,1,18:11:00,18:56:00,Kennedy
56,1,1,18:24:00,19:09:00,Kennedy
57,1,1,18:37:00,19:22:00,Kennedy
58,1,1,18:50:00,19:35:00,Kennedy
59,1,1,19:03:00,19:48:00,Kennedy
60,1,1,19:16:00,20:01:00,Kennedy
61,1,1,19:29:00,20:14:00,Kennedy
62,1,1,19:42:00,20:27:00,Kennedy
63,1,1,19:55:00,20:40:00,Kennedy
64,1,1,20:08:00,20:53:00,Kennedy
65,1,1,20:21:00,21:06:00,Kennedy
66,1,1,20:34:00,21:19:00,Kennedy
67,1,1,20:47:00,21:32:00,Kennedy
68,1,1,21:00:00,21:44:00,Kennedy
69,1,1,21:13:00,21:58:00,Kennedy
70,1,1,21:26:00,22:11:00,Kennedy
71,1,1,21:40:00,22:02:00,Kennedy
72,1,1,22:00:00,22:22:00,Kennedy
73,1,1,22:20:00,22:42:00,Kennedy
74,1,1,22:40:00,23:02:00,Kennedy
75,1,1,05:15:00,06:07:00,Comite del pueblo
76,1,1,05:27:00,06:23:00,Comite del pueblo
77,1,1,05:35:00,06:31:00,Comite del pueblo
78,1,1,05:43:00,06:39:00,Comite del pueblo
79,1,1,05:51:00,06:47:00,Comite del pueblo
80,1,1,05:58:00,06:54:00,Comite del pueblo
81,1,1,06:04:00,07:01:00,Comite del pueblo
82,1,1,06:10:00,07:07:00,Comite del pueblo
