id_viaje,id_terminal_salida,id_terminal_llegada,tiempo_inicio,tiempo_fin,nom_circuito
1,1,1,05:00:00,05:30:00,Manuelita Saenz
2,1,1,05:15:00,05:45:00,Manuelita Saenz
3,1,1,05:00:00,05:56:00,Manuelita Saenz
4,1,1,05:13:00,06:09:00,Manuelita Saenz
5,1,1,05:25:00,06:23:00,Manuelita Saenz
6,1,1,05:36:00,06:34:00,Manuelita Saenz
7,1,1,05:46:00,06:44:00,Manuelita Saenz
8,1,1,05:56:00,06:54:00,Manuelita Saenz
9,1,1,06:06:00,07:06:00,Manuelita Saenz
10,1,1,06:16:00,07:16:00,Manuelita Saenz
11,1,1,06:26:00,07:26:00,Manuelita Saenz
12,1,1,06:36:00,07:38:00,Manuelita Saenz
13,1,1,06:46:00,07:48:00,Manuelita Saenz
14,1,1,06:56:00,07:58:00,Manuelita Saenz
15,1,1,07:06:00,08:08:00,Manuelita Saenz
16,1,1,07:16:00,08:18:00,Manuelita Saenz
17,1,1,07:26:00,08:28:00,Manuelita Saenz
18,1,1,07:36:00,08:38:00,Manuelita Saenz
19,1,1,07:46:00,08:46:00,Manuelita Saenz
20,1,1,07:56:00,08:56:00,Manuelita Saenz
21,1,1,08:06:00,09:06:00,Manuelita Saenz
22,1,1,08:16:00,09:16:00,Manuelita Saenz
23,1,1,08:26:00,09:26:00,Manuelita Saenz
24,1,1,08:36:00,09:36:00,Manuelita Saenz
25,1,1,08:46:00,09:44:00,Manuelita Saenz
26,1,1,08:57:00,09:55:00,Manuelita Saenz
27,1,1,09:09:00,10:07:00,Manuelita Saenz
28,1,1,09:21:00,10:19:00,Manuelita Saenz
29,1,1,09:33:00,10:31:00,Manuelita Saenz
30,1,1,09:45:00,10:43:00,Manuelita Saenz
31,1,1,09:57:00,10:55:00,Manuelita Saenz
32,1,1,10:09:00,11:07:00,Manuelita Saenz
33,1,1,10:21:00,11:19:00,Manuelita Saenz
34,1,1,10:33:00,11:31:00,Manuelita Saenz
35,1,1,10:45:00,11:43:00,Manuelita Saenz
36,1,1,10:57:00,11:55:00,Manuelita Saenz
37,1,1,11:09:00,12:07:00,Manuelita Saenz
38,1,1,11:21:00,12:19:00,Manuelita Saenz
39,1,1,11:33:00,12:31:00,Manuelita Saenz
40,1,1,11:45:00,12:43:00,Manuelita Saenz
41,1,1,11:57:00,12:55:00,Manuelita Saenz
42,1,1,12:09:00,13:09:00,Manuelita Saenz
43,1,1,12:21:00,13:21:00,Manuelita Saenz
44,1,1,12:33:00,13:33:00,Manuelita Saenz
45,1,1,12:45:00,13:45:00,Manuelita Saenz
46,1,1,12:55:00,13:55:00,Manuelita Saenz
47,1,1,13:05:00,14:05:00,Manuelita Saenz
48,1,1,13:15:00,14:15:00,Manuelita Saenz
49,1,1,13:25:00,14:25:00,Manuelita Saenz
50,1,1,13:35:00,14:35:00,Manuelita Saenz
