id_viaje,id_terminal_salida,id_terminal_llegada,tiempo_inicio,tiempo_fin,nom_circuito
1,2,2,05:00:00,05:48:00,Forestal
2,2,2,05:12:00,06:00:00,Forestal
3,2,2,05:24:00,06:22:00,Forestal
4,2,2,05:34:30,06:32:30,Forestal
5,2,2,05:45:00,06:43:00,Forestal
6,2,2,05:55:30,06:53:30,Forestal
7,2,2,06:06:00,07:06:00,Forestal
8,2,2,06:16:00,07:17:00,Forestal
9,2,2,06:26:00,07:28:00,Forestal
10,2,2,06:36:00,07:38:00,Forestal
11,2,2,06:45:00,07:47:00,Forestal
12,2,2,06:54:00,07:56:00,Forestal
13,2,2,07:03:00,08:05:00,Forestal
14,2,2,07:13:00,08:15:00,Forestal
15,2,2,07:23:00,08:25:00,Forestal
16,2,2,07:33:00,08:35:00,Forestal
17,2,2,07:43:00,08:45:00,Forestal
18,2,2,07:53:00,08:55:00,Forestal
19,2,2,08:03:00,09:05:00,Forestal
20,2,2,08:13:00,09:15:00,Forestal
21,2,2,08:23:00,09:25:00,Forestal
22,2,2,08:33:00,09:31:00,Forestal
23,2,2,08:43:30,09:42:30,Forestal
24,2,2,08:54:00,09:52:00,Forestal
25,2,2,09:04:30,10:02:30,Forestal
26,2,2,09:15:00,10:13:00,Forestal
27,2,2,09:25:30,10:23:30,Forestal
28,2,2,09:36:00,10:34:00,Forestal
29,2,2,09:46:30,10:44:30,Forestal
30,2,2,09:57:00,10:55:00,Forestal
31,2,2,10:07:30,11:05:30,Forestal
32,2,2,10:18:00,11:16:00,Forestal
33,2,2,10:28:30,11:26:30,Forestal
34,2,2,10:39:00,11:37:00,Forestal
35,2,2,10:49:30,11:47:30,Forestal
36,2,2,11:00:00,11:58:00,Forestal
37,2,2,11:10:30,12:08:30,Forestal
38,2,2,11:21:00,12:19:00,Forestal
39,2,2,11:31:30,12:29:30,Forestal
40,2,2,11:42:00,12:40:00,Forestal
41,2,2,11:52:30,12:50:30,Forestal
42,2,2,12:03:00,13:03:00,Forestal
43,2,2,12:13:00,13:13:00,Forestal
44,2,2,12:23:00,13:23:00,Forestal
45,2,2,12:33:00,13:33:00,Forestal
46,2,2,12:43:00,13:43:00,Forestal
47,2,2,12:53:00,13:53:00,Forestal
48,2,2,13:03:00,14:03:00,Forestal
49,2,2,13:13:00,14:13:00,Forestal
50,2,2,13:23:00,14:23:00,Forestal
51,2,2,13:33:00,14:33:00,Forestal
52,2,2,13:43:00,14:43:00,Forestal
53,2,2,13:53:00,14:53:00,Forestal
54,2,2,14:03:00,15:01:00,Forestal
55,2,2,14:13:30,15:11:30,Forestal
56,2,2,14:24:00,15:22:00,Forestal
57,2,2,14:34:30,15:32:30,Forestal
58,2,2,14:45:00,15:43:00,Forestal
59,2,2,14:55:30,15:53:30,Forestal
60,2,2,15:06:00,16:04:00,Forestal
61,2,2,15:16:30,16:14:30,Forestal
62,2,2,15:27:00,16:25:00,Forestal
63,2,2,15:37:30,16:35:30,Forestal
64,2,2,15:48:00,16:46:00,Forestal
65,2,2,15:58:30,16:56:30,Forestal
66,2,2,16:09:00,17:07:00,Forestal
67,2,2,16:19:30,17:17:30,Forestal
68,2,2,16:30:00,17:28:00,Forestal
69,2,2,16:40:30,17:40:30,Forestal
70,2,2,16:50:30,17:50:30,Forestal
71,2,2,17:00:30,18:00:30,Forestal
72,2,2,17:10:30,18:10:30,Forestal
73,2,2,17:20:30,18:20:30,Forestal
74,2,2,17:30:30,18:30:30,Forestal
75,2,2,17:40:30,18:40:30,Forestal
76,2,2,17:50:30,18:50:30,Forestal
