id_viaje,id_terminal_salida,id_terminal_llegada,tiempo_inicio,tiempo_fin,nom_circuito
1,1,1,05:15:00,06:15:00,Nayon San Pedro
2,1,1,05:50:00,06:50:00,Nayon San Pedro
3,1,1,06:25:00,07:25:00,Nayon San Pedro
4,1,1,06:55:00,07:55:00,Nayon San Pedro
5,1,1,07:28:00,08:28:00,Nayon San Pedro
6,1,1,08:01:00,09:01:00,Nayon San Pedro
7,1,1,08:36:00,09:38:00,Nayon San Pedro
8,1,1,09:09:00,10:11:00,Nayon San Pedro
9,1,1,09:42:00,10:44:00,Nayon San Pedro
10,1,1,10:15:00,11:17:00,Nayon San Pedro
11,1,1,10:48:00,11:50:00,Nayon San Pedro
12,1,1,11:21:00,12:23:00,Nayon San Pedro
13,1,1,11:54:00,12:56:00,Nayon San Pedro
14,1,1,12:27:00,13:27:00,Nayon San Pedro
15,1,1,13:02:00,14:02:00,Nayon San Pedro
16,1,1,13:37:00,14:37:00,Nayon San Pedro
17,1,1,14:12:00,15:14:00,Nayon San Pedro
18,1,1,14:45:00,15:47:00,Nayon San Pedro
19,1,1,15:18:00,16:20:00,Nayon San Pedro
20,1,1,15:51:00,16:53:00,Nayon San Pedro
21,1,1,16:24:00,17:26:00,Nayon San Pedro
22,1,1,16:57:00,17:59:00,Nayon San Pedro
23,1,1,17:30:00,18:30:00,Nayon San Pedro
24,1,1,18:05:00,19:05:00,Nayon San Pedro
25,1,1,18:40:00,19:40:00,Nayon San Pedro
26,1,1,19:15:00,20:15:00,Nayon San Pedro
27,1,1,19:50:00,20:50:00,Nayon San Pedro
28,1,1,20:20:00,21:20:00,Nayon San Pedro
29,1,1,20:50:00,21:20:00,Nayon San Pedro
30,1,1,21:20:00,21:50:00,Nayon San Pedro
31,1,1,05:40:00,06:12:00,La Luz
32,1,1,05:58:00,06:30:00,La Luz
33,1,1,06:16:00,06:50:00,La Luz
34,1,1,06:32:00,07:07:00,La Luz
35,1,1,06:48:00,07:23:00,La Luz
36,1,1,07:04:00,07:39:00,La Luz
37,1,1,07:20:00,07:55:00,La Luz
38,1,1,07:36:00,08:11:00,La Luz
39,1,1,07:52:00,08:27:00,La Luz
40,1,1,08:08:00,08:43:00,La Luz
41,1,1,08:24:00,08:59:00,La Luz
42,1,1,08:40:00,09:14:00,La Luz
43,1,1,08:56:00,09:30:00,La Luz
44,1,1,09:12:00,09:46:00,La Luz
45,1,1,09:28:00,10:02:00,La Luz
46,1,1,09:44:00,10:18:00,La Luz
47,1,1,10:00:00,10:34:00,La Luz
