id_viaje,id_terminal_salida,id_terminal_llegada,tiempo_inicio,tiempo_fin,nom_circuito
1,3,3,05:00:00,05:42:00,La Cocha
2,3,3,05:15:00,05:57:00,La Cocha
3,3,3,05:30:00,06:14:00,La Cocha
4,3,3,05:42:00,06:26:00,La Cocha
5,3,3,05:54:00,06:38:00,La Cocha
6,3,3,06:06:00,06:51:00,La Cocha
7,3,3,06:17:00,07:02:00,La Cocha
8,3,3,06:27:00,07:12:00,La Cocha
9,3,3,06:37:00,07:23:00,La Cocha
10,3,3,06:45:00,07:31:00,La Cocha
11,3,3,06:53:00,07:39:00,La Cocha
12,3,3,07:01:00,07:47:00,La Cocha
13,3,3,07:09:00,07:55:00,La Cocha
14,3,3,07:17:00,08:03:00,La Cocha
15,3,3,07:25:00,08:11:00,La Cocha
16,3,3,07:34:00,08:19:00,La Cocha
17,3,3,07:44:00,08:29:00,La Cocha
18,3,3,07:54:00,08:39:00,La Cocha
19,3,3,08:04:00,08:49:00,La Cocha
20,3,3,08:14:00,08:59:00,La Cocha
21,3,3,08:24:00,09:09:00,La Cocha
22,3,3,08:34:00,09:18:00,La Cocha
23,3,3,08:46:00,09:30:00,La Cocha
24,3,3,08:58:00,09:42:00,La Cocha
25,3,3,09:10:00,09:54:00,La Cocha
26,3,3,09:22:00,10:06:00,La Cocha
27,3,3,09:34:00,10:18:00,La Cocha
28,3,3,09:46:00,10:30:00,La Cocha
29,3,3,09:58:00,10:42:00,La Cocha
30,3,3,10:10:00,10:54:00,La Cocha
31,3,3,10:22:00,11:06:00,La Cocha
32,3,3,10:34:00,11:18:00,La Cocha
33,3,3,10:46:00,11:30:00,La Cocha
34,3,3,10:58:00,11:42:00,La Cocha
35,3,3,11:10:00,11:54:00,La Cocha
36,3,3,11:22:00,12:06:00,La Cocha
37,3,3,11:34:00,12:18:00,La Cocha
38,3,3,11:46:00,12:30:00,La Cocha
39,3,3,11:58:00,12:42:00,La Cocha
40,3,3,12:10:00,12:55:00,La Cocha
41,3,3,12:20:00,13:05:00,La Cocha
42,3,3,12:30:00,13:15:00,La Cocha
43,3,3,12:40:00,13:25:00,La Cocha
44,3,3,12:50:00,13:35:00,La Cocha
45,3,3,13:00:00,13:45:00,La Cocha
46,3,3,13:10:00,13:55:00,La Cocha
47,3,3,13:20:00,14:05:00,La Cocha
48,3,3,13:30:00,14:15:00,La Cocha
49,3,3,13:40:00,14:25:00,La Cocha
50,3,3,13:50:00,14:35:00,La Cocha
51,3,3,14:00:00,14:45:00,La Cocha
52,3,3,14:10:00,14:54:00,La Cocha
53,3,3,14:22:00,15:06:00,La Cocha
54,3,3,14:34:00,15:18:00,La Cocha
55,3,3,14:46:00,15:30:00,La Cocha
56,3,3,14:58:00,15:42:00,La Cocha
57,3,3,15:10:00,15:54:00,La Cocha
58,3,3,15:22:00,16:06:00,La Cocha
59,3,3,15:34:00,16:18:00,La Cocha
60,3,3,15:46:00,16:30:00,La Cocha
61,3,3,15:58:00,16:42:00,La Cocha
62,3,3,16:10:00,16:54:00,La Cocha
63,3,3,16:22:00,17:06:00,La Cocha
64,3,3,16:34:00,17:19:00,La Cocha
65,3,3,16:46:00,17:31:00,La Cocha
66,3,3,16:58:00,17:43:00,La Cocha
67,3,3,17:10:00,17:55:00,La Cocha
68,3,3,17:22:00,18:07:00,La Cocha
69,3,3,17:34:00,18:19:00,La Cocha
70,3,3,17:46:00,18:32:00,La Cocha
71,3,3,17:58:00,18:44:00,La Cocha
72,3,3,18:10:00,18:56:00,La Cocha
73,3,3,18:22:00,19:08:00,La Cocha
74,3,3,18:34:00,19:20:00,La Cocha
75,3,3,18:46:00,19:32:00,La Cocha
76,3,3,18:56:00,19:42:00,La Cocha
77,3,3,19:06:00,19:52:00,La Cocha
78,3,3,19:16:00,20:02:00,La Cocha
79,3,3,19:26:00,20:12:00,La Cocha
80,3,3,19:36:00,20:21:00,La Cocha
81,3,3,19:46:00,20:31:00,La Cocha
82,3,3,19:56:00,20:41:00,La Cocha
83,3,3,20:06:00,20:51:00,La Cocha
84,3,3,20:16:00,21:01:00,La Cocha
85,3,3,20:26:00,21:11:00,La Cocha
86,3,3,20:36:00,21:21:00,La Cocha
87,3,3,20:46:00,21:31:00,La Cocha
88,3,3,20:56:00,21:41:00,La Cocha
89,3,3,21:06:00,21:50:00,La Cocha
90,3,3,21:17:00,22:01:00,La Cocha
91,3,3,21:29:00,22:13:00,La Cocha
92,3,3,21:41:00,22:25:00,La Cocha
93,3,3,21:54:00,22:16:00,La Cocha
94,3,3,22:07:00,22:29:00,La Cocha
95,3,3,22:20:00,22:42:00,La Cocha
96,3,3,22:33:00,22:55:00,La Cocha
97,3,3,22:46:00,23:08:00,La Cocha
98,3,3,23:00:00,23:22:00,La Cocha
99,3,3,05:00:00,05:40:00,Caupicho
100,3,3,05:15:00,05:55:00,Caupicho
101,3,3,05:30:00,06:13:00,Caupicho
102,3,3,05:45:00,06:28:00,Caupicho
103,3,3,06:00:00,06:43:00,Caupicho
104,3,3,06:15:00,07:00:00,Caupicho
105,3,3,06:26:00,07:11:00,Caupicho
106,3,3,06:37:00,07:22:00,Caupicho
107,3,3,06:48:00,07:33:00,Caupicho
108,3,3,06:59:00,07:44:00,Caupicho
109,3,3,07:10:00,07:55:00,Caupicho
110,3,3,07:21:00,08:06:00,Caupicho
111,3,3,07:32:00,08:17:00,Caupicho
112,3,3,07:43:00,08:28:00,Caupicho
113,3,3,07:54:00,08:39:00,Caupicho
114,3,3,08:05:00,08:50:00,Caupicho
115,3,3,08:16:00,09:01:00,Caupicho
116,3,3,08:27:00,09:12:00,Caupicho
117,3,3,08:38:00,09:23:00,Caupicho
118,3,3,08:49:00,09:34:00,Caupicho
119,3,3,09:00:00,09:45:00,Caupicho
120,3,3,09:11:00,09:54:00,Caupicho
121,3,3,09:22:00,10:05:00,Caupicho
122,3,3,09:33:00,10:16:00,Caupicho
123,3,3,09:44:00,10:27:00,Caupicho
124,3,3,09:55:00,10:38:00,Caupicho
125,3,3,10:06:00,10:49:00,Caupicho
126,3,3,10:17:00,11:00:00,Caupicho
127,3,3,10:28:00,11:11:00,Caupicho
128,3,3,10:39:00,11:22:00,Caupicho
129,3,3,10:50:00,11:33:00,Caupicho
130,3,3,11:01:00,11:44:00,Caupicho
131,3,3,11:12:00,11:55:00,Caupicho
132,3,3,11:23:00,12:06:00,Caupicho
133,3,3,11:34:00,12:17:00,Caupicho
134,3,3,11:45:00,12:28:00,Caupicho
135,3,3,11:56:00,12:41:00,Caupicho
136,3,3,12:07:00,12:52:00,Caupicho
137,3,3,12:18:00,13:03:00,Caupicho
138,3,3,12:29:00,13:14:00,Caupicho
139,3,3,12:40:00,13:25:00,Caupicho
140,3,3,12:51:00,13:36:00,Caupicho
141,3,3,13:02:00,13:47:00,Caupicho
142,3,3,13:13:00,13:58:00,Caupicho
143,3,3,13:24:00,14:09:00,Caupicho
144,3,3,13:35:00,14:20:00,Caupicho
145,3,3,13:46:00,14:29:00,Caupicho
146,3,3,13:57:00,14:40:00,Caupicho
147,3,3,14:08:00,14:51:00,Caupicho
148,3,3,14:19:00,15:02:00,Caupicho
149,3,3,14:30:00,15:13:00,Caupicho
150,3,3,14:41:00,15:24:00,Caupicho
151,3,3,14:52:00,15:35:00,Caupicho
152,3,3,15:03:00,15:46:00,Caupicho
153,3,3,15:14:00,15:57:00,Caupicho
154,3,3,15:25:00,16:08:00,Caupicho
155,3,3,15:36:00,16:21:00,Caupicho
156,3,3,15:47:00,16:32:00,Caupicho
157,3,3,15:58:00,16:43:00,Caupicho
158,3,3,16:09:00,16:54:00,Caupicho
159,3,3,16:20:00,17:05:00,Caupicho
160,3,3,16:31:00,17:16:00,Caupicho
161,3,3,16:42:00,17:27:00,Caupicho
162,3,3,16:53:00,17:38:00,Caupicho
163,3,3,17:04:00,17:49:00,Caupicho
164,3,3,17:15:00,18:00:00,Caupicho
165,3,3,17:26:00,18:11:00,Caupicho
166,3,3,17:37:00,18:22:00,Caupicho
167,3,3,17:48:00,18:33:00,Caupicho
168,3,3,17:59:00,18:44:00,Caupicho
169,3,3,18:10:00,18:55:00,Caupicho
170,3,3,18:21:00,19:06:00,Caupicho
171,3,3,18:32:00,19:17:00,Caupicho
172,3,3,18:43:00,19:28:00,Caupicho
173,3,3,18:54:00,19:39:00,Caupicho
174,3,3,19:05:00,19:50:00,Caupicho
175,3,3,19:16:00,20:01:00,Caupicho
176,3,3,19:27:00,20:12:00,Caupicho
177,3,3,19:38:00,20:23:00,Caupicho
178,3,3,19:49:00,20:34:00,Caupicho
179,3,3,20:00:00,20:45:00,Caupicho
180,3,3,20:13:00,20:58:00,Caupicho
181,3,3,20:26:00,21:11:00,Caupicho
182,3,3,20:39:00,21:22:00,Caupicho
183,3,3,20:52:00,21:35:00,Caupicho
184,3,3,21:10:00,21:53:00,Caupicho
185,3,3,21:28:00,21:49:00,Caupicho
186,3,3,21:46:00,22:07:00,Caupicho
187,3,3,22:04:00,22:25:00,Caupicho
188,3,3,22:22:00,22:43:00,Caupicho
189,3,3,22:40:00,23:01:00,Caupicho
190,3,3,23:00:00,23:21:00,Caupicho
191,1,1,05:00:00,05:45:00,Giron Huarcay
192,1,1,05:18:00,06:06:00,Giron Huarcay
193,1,1,05:36:00,06:24:00,Giron Huarcay
194,1,1,05:52:00,06:40:00,Giron Huarcay
195,1,1,06:08:00,06:58:00,Giron Huarcay
196,1,1,06:24:00,07:14:00,Giron Huarcay
197,1,1,06:40:00,07:30:00,Giron Huarcay
198,1,1,06:56:00,07:46:00,Giron Huarcay
199,1,1,07:12:00,08:02:00,Giron Huarcay
200,1,1,07:28:00,08:18:00,Giron Huarcay
201,1,1,07:44:00,08:34:00,Giron Huarcay
202,1,1,08:00:00,08:50:00,Giron Huarcay
203,1,1,08:16:00,09:06:00,Giron Huarcay
204,1,1,08:32:00,09:22:00,Giron Huarcay
205,1,1,08:48:00,09:36:00,Giron Huarcay
206,1,1,09:04:00,09:52:00,Giron Huarcay
207,1,1,09:20:00,10:08:00,Giron Huarcay
208,1,1,09:36:00,10:24:00,Giron Huarcay
209,1,1,09:52:00,10:40:00,Giron Huarcay
210,1,1,10:08:00,10:56:00,Giron Huarcay
211,1,1,10:24:00,11:12:00,Giron Huarcay
212,1,1,10:40:00,11:28:00,Giron Huarcay
213,1,1,10:56:00,11:44:00,Giron Huarcay
214,1,1,11:12:00,12:00:00,Giron Huarcay
215,1,1,11:28:00,12:16:00,Giron Huarcay
216,1,1,11:44:00,12:32:00,Giron Huarcay
217,1,1,12:00:00,12:50:00,Giron Huarcay
218,1,1,12:16:00,13:06:00,Giron Huarcay
219,1,1,12:32:00,13:22:00,Giron Huarcay
220,1,1,12:48:00,13:38:00,Giron Huarcay
221,1,1,13:04:00,13:54:00,Giron Huarcay
222,1,1,13:20:00,14:10:00,Giron Huarcay
223,1,1,13:36:00,14:26:00,Giron Huarcay
224,1,1,13:52:00,14:42:00,Giron Huarcay
225,1,1,14:08:00,14:56:00,Giron Huarcay
226,1,1,14:24:00,15:12:00,Giron Huarcay
227,1,1,14:40:00,15:28:00,Giron Huarcay
228,1,1,14:56:00,15:44:00,Giron Huarcay
229,1,1,15:12:00,16:00:00,Giron Huarcay
230,1,1,15:28:00,16:16:00,Giron Huarcay
231,1,1,15:44:00,16:32:00,Giron Huarcay
232,1,1,16:00:00,16:48:00,Giron Huarcay
233,1,1,16:16:00,17:04:00,Giron Huarcay
234,1,1,16:32:00,17:22:00,Giron Huarcay
235,1,1,16:48:00,17:38:00,Giron Huarcay
236,1,1,17:04:00,17:54:00,Giron Huarcay
237,1,1,17:20:00,18:10:00,Giron Huarcay
238,1,1,17:36:00,18:26:00,Giron Huarcay
239,1,1,17:52:00,18:42:00,Giron Huarcay
240,1,1,18:08:00,18:58:00,Giron Huarcay
241,1,1,18:24:00,19:14:00,Giron Huarcay
242,1,1,18:41:00,19:29:00,Giron Huarcay
243,1,1,18:58:00,19:46:00,Giron Huarcay
244,1,1,19:15:00,20:03:00,Giron Huarcay
